,firstName,lastName,age,sex,Vehicle_Make,Vehicle_Model,Vehicle_Year,Vehicle_Type,iban,credit_card_number,credit_card_security_code,credit_card_start_date,credit_card_end_date,address_main,address_city,address_postcode,debt,retired,dependants,marital_status,salary,pension,company,commute_distance,sn
10,Judith,Ward,22,Female,Dodge,A3,1994,Pickup,GB11OJDN55343040239805,4743528593123,956,02/13,06/13,Studio 72 Gibson squares,West Kirstybury,HX81 3ED,0,False,1.0,married or civil partner,26753,0,"Thomas, Wright and Cox",8.18,SN11
11,Jill,Riley,50,Female,Acura,S80,2004,Convertible,GB57BILV32753660609108,4966604035221624,466,09/14,11/20,176 Eileen landing,Yvonnemouth,S4 8QG,0,False,2.0,single,65731,0,"Morrison, Haynes and Osborne",15.66,SN12
12,Bryan,Roberts,51,Male,Mercedes-Benz,Transit Connect Cargo,2016,"Sedan, Coupe",GB82XYYP90947973759853,4831948516123004,762,11/18,12/20,Flat 6 Leah underpass,Lake Bryanshire,WC5 5NU,0,False,2.0,single,63051,0,Collier-Bond,15.23,SN13
13,Howard,Young,42,Male,Cadillac,Lancer,2010,SUV,GB69LOGD47816305246403,213175229489110,306,08/19,04/30,830 Mohammed crossroad,Brookesbury,E1H 2BX,0,False,2.0,single,19156,0,Wilson LLC,6.15,SN14
14,Alexandra,Brooks,57,Female,Subaru,Avalon Hybrid,2013,SUV,GB85LOYQ17416077098920,4785590486902599,539,05/13,01/20,7 Arthur meadow,East Leighchester,SL9P 4FE,0,False,2.0,single,26089,0,"Griffiths, Phillips and Donnelly",8.01,SN15
15,Callum,Smith,44,Male,Honda,SRX,2000,Sedan,GB91SOQX53155244110594,4054499241646869,352,10/14,02/15,2 Hazel canyon,New Arthur,S51 1RJ,0,False,3.0,married or civil partner,59121,0,Holland Inc,14.59,SN16
16,Ricky,Davies,53,Male,Lincoln,Express 2500 Cargo,2018,Pickup,GB54OHHW74238445874540,378260295400224,29,12/17,11/30,66 Cheryl island,Moorestad,E43 2SL,0,False,1.0,married or civil partner,51519,0,"Byrne, Wells and Lewis",13.29,SN17
17,Jenna,Dennis,70,Female,Audi,Trans Sport,2004,"SUV, Wagon",GB92FCQZ67612117502713,36724244293455,952,10/18,05/26,Flat 20 Toby mission,Paynechester,N59 2NE,17742.07,False,2.0,married or civil partner,82334,0,"Walker, Barnett and Tyler",18.12,SN18
18,Ryan,Morley,77,Male,Ram,Range Rover,2014,"Coupe, Convertible",GB10VXCD04888968787188,4545660525965,945,05/14,01/25,828 William course,Jonestown,S0 9XD,0,True,3.0,married or civil partner,30020,20459,None,0.0,SN19
19,Francesca,Lee,72,Female,Kia,Savana 1500 Cargo,2014,Sedan,GB95ZBCT64361203811573,374485764612785,844,03/15,02/24,80 Colin street,Barryview,G4 3QJ,0,True,2.0,married or civil partner,18578,14215,None,0.0,SN20
20,Yvonne,Morgan,83,Female,Dodge,Mercedes-AMG E-Class,2011,Wagon,GB34UOEB78062936269951,377018777121770,400,07/14,05/16,Flat 00 Ali common,Russellshire,N05 5UN,0,True,1.0,married or civil partner,86560,35313,None,0.0,SN21
21,Aaron,Marsh,84,Male,Lexus,Windstar Passenger,1994,SUV,GB32NZWM83573155733294,6512070056375422,1666,10/13,07/18,308 Crawford camp,West Tom,HP3 6LF,0,True,2.0,married or civil partner,74887,21374,None,0.0,SN22
22,Clifford,Mason,64,Male,Chevrolet,XC90,2009,Sedan,GB31CURE16796803877205,180057550595294,686,09/19,04/24,Flat 99 Jones lodge,Lake Carolineland,PH60 9ZT,0,False,1.0,widowed,32510,0,"Wood, Clarke and Wood",9.53,SN23
23,Megan,Gray,82,Female,Honda,Q60,2015,"Coupe, Convertible",GB77PCRN68601656126497,4632973448739264,960,06/21,10/28,Studio 5 Cartwright freeway,South Paul,N13 8DE,0,True,4.0,married or civil partner,52671,25049,None,0.0,SN24
24,Christian,Houghton,66,Male,Hyundai,Commander,2017,SUV,GB34SVZN65385397431322,180016617964612,269,12/16,04/20,1 Fleming forges,Dannyhaven,NE2M 9YQ,0,False,2.0,married or civil partner,41005,0,"Gray, Lloyd and Foster",11.31,SN25
25,Leigh,Hart,45,Male,Chevrolet,500,1999,Pickup,GB07IKHB52362118649001,4167590855476648448,545,02/21,12/23,Flat 10 Colin stravenue,North Cameron,TA2 1AZ,0,False,3.0,single,79293,0,Sharp PLC,17.69,SN26
26,Alice,Bentley,88,Female,Aston Martin,Caliber,1994,Coupe,GB53JHFA37819664032164,213157478283873,8344,11/15,05/24,2 Gregory manor,East Cameronview,N6D 2XZ,0,True,3.0,single,61997,26748,None,0.0,SN27
27,Teresa,Armstrong,81,Female,Porsche,Pacifica,2015,SUV,GB38DBPX10466092783207,3573844257982191,975,05/21,12/23,302 Howard terrace,Christopherfort,WD3 0JW,0,True,1.0,married or civil partner,46535,14950,None,0.0,SN28
28,Maurice,Giles,38,Male,GMC,F150 SuperCrew Cab,1999,Coupe,GB60ZLYE36487200010213,4835348173886,494,12/19,01/29,Studio 2 Clarke estates,West Christine,B3U 5SS,0,False,1.0,married or civil partner,36926,0,"Storey, Todd and Craig",10.48,SN29
29,Ann,Butler,53,Female,Honda,A4 allroad,2011,SUV,GB26EYHW79863831182448,3512046239026873,479,03/20,09/23,Studio 42X Gregory causeway,Seanshire,AL7B 1JR,0,False,2.0,married or civil partner,89433,0,"Stevens, West and Price",19.09,SN30
30,Beth,Kaur,44,Female,Nissan,Express 2500 Passenger,2016,Sedan,GB63IMHJ16970672192872,3529641266025482,1099,07/13,10/25,487 Moss mills,Kingfort,ML9 3RA,0,False,3.0,divorced,72126,0,Harris Ltd,16.64,SN31
31,Nicola,Gregory,66,Female,Land Rover,Silverado 2500 HD Regular Cab,2012,Van/Minivan,GB56YYDM17102927579215,371126644806303,792,07/20,11/22,Flat 56B Morgan view,Daviesburgh,GU0A 7EQ,0,False,3.0,married or civil partner,91697,0,"Hopkins, Davey and Roberts",19.4,SN32
32,Bernard,Price,58,Male,Ferrari,GS,2004,Coupe,GB39KRMB76350433905672,4665351009903,728,03/17,01/28,928 Cheryl springs,Margaretville,G52 2PX,0,False,3.0,married or civil partner,45043,0,"Short, Haynes and Clark",12.1,SN33
33,Heather,Bradshaw,39,Female,BMW,Golf SportWagen,2005,Sedan,GB34ZTTK43071339079075,4277109144721892864,851,03/21,11/23,Studio 99 Connor spurs,Josephstad,WS96 1QR,16582.23,False,2.0,married or civil partner,28555,0,Wilson-Finch,8.61,SN34
34,Mathew,Webb,56,Male,Toyota,RX,2018,Pickup,GB92ARGC27604399855879,379952083708532,731,07/19,07/29,743 Lauren freeway,Philipshire,E29 0YZ,0,False,1.0,single,97438,0,Potts-Osborne,20.15,SN35
35,Josh,Butler,40,Male,Chevrolet,K900,2007,Wagon,GB03GJON78224027716167,2286977430718759,462,03/18,06/25,Studio 4 Brett road,Brettport,M7 8ES,0,False,3.0,married or civil partner,70330,0,"Dobson, Jones and O'Brien",16.37,SN36
36,Rebecca,Clarke,90,Female,Volkswagen,Taurus X,2019,Sedan,GB18MRUZ39675900125727,2265631952478590,801,12/19,06/23,Studio 33 Hannah ford,Lake Lisamouth,W37 7RZ,0,True,2.0,single,58334,22229,None,0.0,SN37
37,Trevor,Oliver,49,Male,Volkswagen,Grand Marquis,2009,Sedan,GB16PFMW81744063957795,347740105137502,309,04/16,03/24,Studio 46S Samuel spurs,West Carolebury,W1B 4BB,0,False,3.0,single,23997,0,"Barrett, Davidson and Wilkinson",7.48,SN38
38,Garry,Taylor,20,Male,Lotus,Cobalt,1995,Sedan,GB67ZTZN70938359570964,3543532359208782,178,01/16,11/21,32 Wright groves,Gavinbury,TW6 3YR,0,False,2.0,widowed,43732,0,"Walker, Morgan and Patterson",11.85,SN39
39,Kathleen,Archer,43,Female,Chevrolet,612 Scaglietti,2003,Sedan,GB23AEMK11510349321374,6534824087930785,160,03/15,02/22,Studio 2 Alison mission,South Kayleighside,G8T 1BJ,"{'amount': '409.34', 'time_period_years': 1}",False,1.0,married or civil partner,24750,0,Potter-James,7.67,SN40
40,Cheryl,Ball,21,Female,Hyundai,S6,2018,SUV,GB82TXES14085577639827,30089368268394,271,05/20,10/28,80 Kimberley islands,Jonesshire,SM2M 0SW,0,False,3.0,married or civil partner,93766,0,"James, Ford and Evans",19.67,SN41
41,Malcolm,Price,41,Male,Chevrolet,R-Class,1992,Pickup,GB06MFLZ43640681806585,4110882796239051,720,10/19,07/25,4 Bishop ville,East Yvonne,L43 3JD,0,False,2.0,married or civil partner,19517,0,Brown-Williams,6.26,SN42
42,Terence,Hughes,54,Male,Toyota,A6,2014,Pickup,GB79PJTS34498908252081,213161985533838,990,09/18,04/26,Studio 70 Mary drive,Malcolmview,WF9Y 4QA,0,False,1.0,single,71147,0,"Parkinson, Barlow and Ryan",16.49,SN43
43,Yvonne,Davidson,56,Female,Toyota,Explorer,2015,Sedan,GB03TEQC32809789676988,4727477987302944,136,11/19,12/23,Studio 1 Kyle port,Rosemaryland,BA62 7PS,0,False,1.0,single,83720,0,Cameron-Barnes,18.31,SN44
44,Gareth,Norton,51,Male,BMW,Neon,1997,Sedan,GB81TUWC08502230501087,4588858469041100800,734,06/21,01/23,Studio 56 Lewis shore,South Russell,EC87 4FN,0,False,1.0,single,40999,0,Ward-Wright,11.31,SN45
45,Arthur,Price,53,Male,Toyota,Uplander Passenger,2017,Van/Minivan,GB35SAUH98686686823357,4301338683460929,269,01/20,01/21,Studio 2 Abbie dam,New Molly,E2K 3AF,0,False,1.0,single,37644,0,Lee-Morgan,10.63,SN46
46,Sheila,Scott,60,Female,Toyota,Tracker,1999,SUV,GB09ZMTE76291769703418,213103374710791,391,04/15,11/29,Flat 7 Burke river,Georginaberg,HU0X 9PJ,0,False,1.0,married or civil partner,42856,0,"Ahmed, Murray and Martin",11.68,SN47
47,Neil,Cooper,65,Male,Oldsmobile,Sephia,2002,Hatchback,GB73NXUY09959342899333,676137991110,659,03/16,10/16,Studio 07 Stuart mission,New Patricia,HP4 9AZ,0,False,3.0,divorced,34882,0,Marshall-Taylor,10.05,SN48
48,Marion,Smith,55,Female,Nissan,Cayenne,2010,Sedan,GB06CAYU59936904292821,4639883371677931,371,07/16,08/24,84 George glen,Woodton,SE6 5GE,0,False,1.0,married or civil partner,98909,0,Palmer Ltd,20.34,SN49
49,Bruce,Lewis,70,Male,Lexus,XT5,1996,SUV,GB35FTPX07249020441979,30233445299556,960,11/21,04/28,5 Shaw wall,New Christianville,S4 2BD,0,False,3.0,married or civil partner,67536,0,Davies and Sons,15.94,SN50
50,Jordan,Burrows,58,Male,Ford,Titan King Cab,2001,Pickup,GB64UUAV86479587789814,4757047026241,306,04/21,09/21,45 Brennan ville,West Billyborough,CW16 2DQ,"{'amount': '17989.11', 'time_period_years': 0}",False,3.0,married or civil partner,79374,0,"Hilton, Ryan and Moran",17.7,SN51
51,Hannah,Cross,66,Female,Toyota,Accord Hybrid,2002,Hatchback,GB27IMNP26979941855322,3549830989571858,715,08/21,11/28,54 James street,Webbfurt,M53 8RW,0,False,2.0,single,42412,0,Johnson PLC,11.59,SN52
52,Shaun,Davidson,58,Male,Chevrolet,Versa Note,2013,Hatchback,GB75BOSL95045205293711,4989969638738289,604,09/20,11/23,Flat 4 Fox courts,Davismouth,S4S 5TP,0,False,2.0,divorced,46362,0,Simpson LLC,12.35,SN53
53,Owen,Cooper,32,Male,Eagle,CL,2020,Sedan,GB17IDWP58307568614494,3512152345576338,835,08/13,06/16,428 Hughes gardens,Lake Jadeside,B92 9FW,0,False,2.0,married or civil partner,62314,0,Williamson-Day,15.11,SN54
54,Owen,Moore,88,Male,Honda,Yukon XL,2004,Coupe,GB42NYFA80800381429156,180032861469497,490,10/14,05/30,123 Lawrence drive,Lake Hughbury,BL8V 0EJ,0,True,2.0,single,53013,43359,None,0.0,SN55
55,Harry,Owen,34,Male,Lexus,Intrepid,2006,SUV,GB98IOLO67985080706935,180076757816550,309,06/16,03/27,744 Carl run,Leighshire,M4 6DB,0,False,2.0,single,78624,0,"Swift, Hicks and Watson",17.59,SN56
56,Darren,Bates,44,Male,Nissan,Park Avenue,1999,Sedan,GB19MYHT26865353777309,3557761795937679,51,06/15,04/30,8 Douglas harbors,Callumfort,N0 4RQ,0,False,1.0,married or civil partner,42475,0,Todd Ltd,11.6,SN57
57,Elliott,Palmer,77,Male,Lexus,Volt,2004,Coupe,GB37AGLN97143009571393,30043782376820,960,09/20,11/24,Studio 60 Bevan underpass,Port Fiona,N4 8NP,0,True,1.0,single,48258,29491,None,0.0,SN58
58,Kimberley,Hunter,27,Female,BMW,T100 Regular Cab,2007,Van/Minivan,GB27DNMF26316324067108,6011245094273708,71,01/15,08/30,393 Johnson run,South Traceybury,BA0W 4DF,0,False,1.0,single,21103,0,Clark Inc,6.7,SN59
59,Geoffrey,Hayward,78,Male,Dodge,929,2009,"Coupe, Convertible",GB35YHZK61172073855279,4016317998247276,417,01/14,12/17,Flat 45m Campbell mews,Harrisonside,B59 6AH,0,True,3.0,divorced,84336,34580,None,0.0,SN60
60,Richard,Baker,91,Male,BMW,Ram Wagon B350,2018,Van/Minivan,GB40QCMW46649444506632,4464645895778879,38,09/17,09/29,1 Stevens hills,New Georgefurt,N99 5XG,0,True,2.0,married or civil partner,87091,32923,None,0.0,SN61
61,Mandy,Hudson,56,Female,Buick,Traverse,2019,Van/Minivan,GB40WGHP09162008207675,4839121462541890,947,08/19,04/27,4 Nigel valley,Lake Valerie,S5 7LR,0,False,3.0,married or civil partner,54076,0,"Ingram, Murphy and Begum",13.74,SN62
62,Ian,McDonald,63,Male,Ford,458 Italia,1992,Pickup,GB22ADBU00966319462107,30065855151814,397,08/21,06/25,Studio 26 Bennett point,Nixonville,LN2 3QJ,0,False,2.0,single,83228,0,Turner-Smith,18.24,SN63
63,Leon,Wood,71,Male,Volvo,X5,2003,Wagon,GB06GEUE70355884143748,3575549936274583,773,08/18,04/26,Flat 75C Jayne gateway,Geraldton,TA3 2JD,0,True,2.0,married or civil partner,44480,14839,None,0.0,SN64
64,Albert,Bell,56,Male,Saturn,Ram 3500 Quad Cab,2005,Coupe,GB18PCUI81328637083530,4725264836287,738,02/18,03/20,Studio 96X Peter mall,Brownfurt,N1 5UH,0,False,1.0,divorced,96520,0,Murray Group,20.03,SN65
65,Damian,Graham,75,Male,Ford,Tundra CrewMax,2006,Sedan,GB27SJEN73849031795154,2258031457374585,327,12/18,03/26,Flat 79 Clare causeway,North Gailchester,L5H 6NF,0,True,2.0,married or civil partner,63734,21242,None,0.0,SN66
66,Debra,Craig,39,Female,Ford,Sidekick,2009,Van/Minivan,GB69CUFK25756125069626,60496207311,247,01/16,08/16,21 Wilson court,Port Teresaview,N7C 1QD,0,False,2.0,single,55885,0,"Patel, Ryan and Robinson",14.05,SN67
67,Rita,Hill,72,Female,Cadillac,Sonic,2014,"Coupe, Sedan",GB95XIPW91623144029055,180058342842010,5514,10/20,01/24,Flat 7 White manor,New Joannehaven,M51 7BL,0,False,3.0,married or civil partner,18752,0,Wilson-Brown,6.03,SN68
68,Julia,Lloyd,88,Female,Lamborghini,Vanquish S,2017,"Hatchback, Wagon",GB60QTBU50808815255378,630446988010,390,01/21,12/27,74 Roberts turnpike,New Jamie,W7 3BJ,0,True,2.0,single,87419,32988,None,0.0,SN69
69,Jayne,Hunt,72,Female,Oldsmobile,Ram 2500 Quad Cab,1993,Pickup,GB02YVRM60349351422600,4781802624311151,381,01/14,01/30,17 Megan field,Albertberg,RG6 0ZR,0,False,1.0,married or civil partner,65970,0,Edwards-Fleming,15.69,SN70
70,Terry,James,22,Male,Volkswagen,FX,2005,Sedan,GB59DBOP45356834016237,3591343326210369,230,03/21,01/26,Flat 8 Paul avenue,Lake Darren,BD3M 4YR,0,False,1.0,married or civil partner,64703,0,James LLC,15.49,SN71
71,Roy,Frost,28,Male,Chevrolet,A6,2004,SUV,GB84ZOSD85386824447744,6537122742123137,203,02/18,07/18,86 Carole mission,Lake Sheila,N81 0HL,0,False,2.0,single,29133,0,"Warren, Cook and Burgess",8.75,SN72
72,June,Gibbs,70,Female,Hyundai,E350 Super Duty Cargo,2002,Pickup,GB53TCZW24844836232985,4063329016739707,444,12/17,07/29,15 Carr brook,Thomasbury,HR74 1RR,0,False,2.0,married or civil partner,60044,0,"Cooke, Green and Jones",14.74,SN73
73,Stanley,Young,60,Male,Nissan,Tribute,2013,Sedan,GB55STOH25029666615697,213100218435908,415,08/14,11/29,765 Lynn common,Port Bradleyborough,DN59 5RD,0,False,3.0,married or civil partner,18712,0,Fuller-Graham,6.02,SN74
74,Robert,Williamson,83,Male,Mercedes-Benz,Windstar Passenger,2011,"Coupe, Convertible",GB27UWAC09913164721111,2279002654449624,185,04/20,11/27,Studio 5 Amber drive,Lesleyberg,NP5B 1DF,0,True,3.0,single,65722,37810,None,0.0,SN75
75,Julia,Cross,54,Female,BMW,Corolla,2007,Sedan,GB15EZUN16487113029368,4440545839083544,632,07/18,01/29,19 Chamberlain key,Whitetown,L7A 1UY,889.19,False,1.0,single,43128,0,Khan LLC,11.73,SN76
76,June,Khan,62,Female,Chevrolet,F350 Regular Cab,1993,Pickup,GB05MISW51208009346509,2573994049095109,493,06/16,04/25,669 Dylan crossroad,Robertsonmouth,W8S 2LR,0,False,3.0,single,52239,0,"Wood, Shah and Marsh",13.41,SN77
77,Robert,Dixon,26,Male,GMC,XC90,2011,SUV,GB81OVNE24467383192427,6011855481617018,870,06/13,11/28,Studio 24 Marcus haven,Barberville,TW4E 1DU,0,False,2.0,married or civil partner,18456,0,Myers Inc,5.95,SN78
78,Duncan,Anderson,25,Male,Land Rover,Ranger Super Cab,2006,Sedan,GB42GZGT86506243714792,343316260707969,113,07/19,01/25,65 Craig valley,West Paigeberg,W9 8JZ,0,False,4.0,divorced,84086,0,Wood-Cooper,18.36,SN79
79,Linda,Campbell,18,Female,BMW,Envoy,2003,SUV,GB47STOG30845753873350,4873852288695107584,360,12/15,11/29,Flat 16O Bruce ville,North Lydia,UB5P 8QU,0,False,1.0,married or civil partner,34062,0,"Smith, Newman and Foster",9.87,SN80
80,Charlotte,Owen,63,Female,Ford,G-Class,1993,Hatchback,GB68XLVS21891095923045,3581537086683242,655,10/20,08/26,028 Adam wells,Mitchellhaven,BT1 7DX,0,False,1.0,married or civil partner,69451,0,Hall-Taylor,16.23,SN81
81,Kevin,Jones,83,Male,Kia,Cayman,2017,SUV,GB36LYDI72047018821097,3553101130461362,577,01/17,06/18,84 Bruce common,New Rebecca,TS8 0LL,0,True,1.0,married or civil partner,63386,31644,None,0.0,SN82
82,Gavin,Stephenson,66,Male,Dodge,Soul,2008,SUV,GB90IJZA38784010584391,3528937091794776,822,11/18,07/23,2 Philip tunnel,Smithside,B89 7WH,"{'amount': '18100.66', 'time_period_years': 1}",False,1.0,single,59915,0,"Holt, Sheppard and Hughes",14.72,SN83
83,Mathew,Howell,26,Male,Audi,Lanos,2008,SUV,GB86WQDD75331967936165,60416754004,6599,10/19,09/20,8 Rogers shore,Ambertown,CR2 2EP,0,False,2.0,married or civil partner,89849,0,Brown LLC,19.15,SN84
84,Josh,Humphries,84,Male,Honda,CLK-Class,1994,SUV,GB53CLIU27227137778783,4380926038992931840,762,01/15,09/23,02 Samantha alley,Lake Ashleighville,N2 8AY,0,True,2.0,married or civil partner,54258,19934,None,0.0,SN85
85,Declan,Bryant,31,Male,Kia,Enclave,1996,SUV,GB91EIDD41804429590597,502028101777,90,01/19,08/25,87 Reece mall,Humphrieschester,HS0 8GN,0,False,3.0,single,58639,0,Green Inc,14.51,SN86
86,Sean,Cook,67,Male,Volkswagen,Expedition,2012,Coupe,GB75IVHA55987575057399,3517774071011480,792,05/15,12/22,Studio 05 Naomi rapids,Irenetown,G1 7LH,15395.20,False,2.0,single,91053,0,Scott-Griffiths,19.31,SN87
87,Rebecca,Atkinson,34,Female,Toyota,Voyager,2010,SUV,GB04VODW77314755658489,30133410780616,172,04/14,04/26,84 Philip center,Harryview,G38 7SF,0,False,4.0,married or civil partner,77583,0,Smith PLC,17.44,SN88
88,Pauline,Ali,22,Female,Chevrolet,G3,2017,"Coupe, Sedan, Wagon",GB63ZZPZ91222431539165,4342449167518033920,636,10/20,04/23,1 Anthony station,Thomasville,KW5 8TX,0,False,3.0,married or civil partner,21864,0,Dobson-Walker,6.91,SN89
89,Marion,Thorpe,19,Female,Subaru,Giulia,2019,Van/Minivan,GB64CXYR10467112633861,370300334020993,283,10/18,12/28,9 Banks ways,Lake Annemouth,CW78 9ZJ,0,False,2.0,single,67724,0,"Nicholson, Graham and Campbell",15.97,SN90
90,Anna,Thompson,48,Female,Lexus,1500 Crew Cab,2009,SUV,GB60AQAT39760268255934,4301627684221375,657,05/13,06/17,Studio 76y Connor cove,North Jamesfort,SP9 0ZF,0,False,2.0,single,36066,0,Martin-Hayes,10.3,SN91
91,Ben,Andrews,42,Male,GMC,Tribute,2012,Pickup,GB30VTJR23570841776019,3507094886054852,856,02/19,07/26,Studio 03j Max trail,New Pauline,S8A 7SA,0,False,1.0,married or civil partner,59948,0,"Gould, O'Connor and Wallis",14.73,SN92
92,Stephen,Cunningham,49,Male,Ford,4 Series,2017,SUV,GB21LDJR66022755586940,30291059314673,819,04/20,12/24,9 Ryan springs,Smithhaven,G48 2QH,0,False,1.0,married or civil partner,58116,0,Johnson Inc,14.42,SN93
93,Patricia,French,67,Female,Buick,Town & Country,1996,Pickup,GB94OAXF01047801980808,6011937369708182,332,09/13,06/19,Flat 94 Sheila stravenue,New Jean,S4B 6NE,0,False,3.0,married or civil partner,47352,0,"Warner, Brown and Webb",12.53,SN94
94,Alison,Herbert,61,Female,Ford,Colt,2000,Pickup,GB21ZGFB22710097711555,4709689347816370176,326,12/14,08/22,Flat 69 Antony hollow,North Deanstad,CM9 8WW,0,False,2.0,married or civil partner,47041,0,Robinson-Edwards,12.47,SN95
95,Leonard,Preston,27,Male,Dodge,H2,2017,Wagon,GB34HIVJ89263929467140,340071254549470,456,10/14,04/24,Flat 7 Day valley,Lake Liam,NW87 7NZ,0,False,1.0,single,53143,0,Thorpe Ltd,13.57,SN96
96,Justin,Hussain,24,Male,Dodge,X7,2019,Sedan,GB06SKUN97017168112941,4158120853086012416,996,12/18,08/28,Flat 38j O'Connor spur,Lewisport,LL2 8SL,0,False,2.0,married or civil partner,43164,0,Clark Group,11.74,SN97
97,Jayne,Harrison,66,Female,GMC,Colorado Extended Cab,2002,Van/Minivan,GB57IUWT30647002920878,4556073526115685,2326,04/17,06/17,Studio 1 Howard drive,Khanport,KT1 3GL,0,False,3.0,single,21051,0,Jones Ltd,6.69,SN98
98,Jane,Kerr,55,Female,Mitsubishi,SC,2015,Pickup,GB47SSEX37510198306416,180049488867242,287,05/19,08/21,41 Rees spur,New Leslie,WD70 6TQ,0,False,2.168711656441718,single,21885,0,Foster Ltd,6.92,SN99
99,Harriet,Davies,38,Female,Ford,S60,2015,"Sedan, Wagon",GB41XFHZ53438438017982,4100036202683939,291,09/18,01/26,Flat 5 Hazel valleys,Mariaport,CT0B 9JE,18063.61,False,4.0,single,28070,0,Lawrence-Cox,8.5,SN100
100,Lindsey,Vaughan,74,Female,Chrysler,MX-3,2003,Pickup,GB03FIHA33808047771765,3599025872147747,274,08/16,01/26,49 Deborah crescent,Damienhaven,L61 9HZ,0,False,3.0,married or civil partner,50666,0,Edwards-Kaur,13.13,SN101
101,Dylan,Francis,64,Male,Mercury,Prius Plug-in Hybrid,2002,Pickup,GB57TFTZ42123043829523,4773627177056541696,911,09/14,03/24,Flat 88T Reece dam,New Jeffreystad,N9 6WJ,0,False,2.168711656441718,married or civil partner,92193,0,Mills-Mason,19.46,SN102
102,Albert,Carroll,59,Male,Mitsubishi,S8,2006,Van/Minivan,GB15RETK14962954170717,4815161367515555,861,10/21,02/23,6 Reece underpass,South Ashleighside,B7 9GN,0,False,3.0,married or civil partner,56306,0,Jones and Sons,14.12,SN103
103,Joe,Edwards,41,Male,Hyundai,Fleetwood,2015,Convertible,GB92VKJS76533134172063,4017848200844012,939,06/21,10/21,6 Herbert vista,Kimberleyberg,CR00 9QX,0,False,1.0,married or civil partner,23369,0,Noble-Rice,7.32,SN104
104,James,Edwards,48,Male,Audi,Silverado 2500 HD Crew Cab,2013,Van/Minivan,GB67MAZN98248538594517,3570189914077107,877,07/16,11/25,853 Holly ports,Emilyfort,SG79 3QN,0,False,3.0,single,60213,0,Wallis PLC,14.77,SN105
105,Max,Gill,63,Male,Dodge,Sienna,2018,Pickup,GB73CAKV94212868705335,3584066770132487,433,01/20,02/25,Flat 6 Middleton tunnel,New Traceytown,N3S 7WQ,0,False,3.0,single,59293,0,"Dunn, Garner and Evans",14.62,SN106
